소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,위도,경도,현장소방서거리,현장안전센터거리,발화요인,시설장소
강남소방서,영동119안전센터,619,강남구,압구정동,201892.767,547642.5451,37.52827536,127.0214133,6.5,3,부주의,자동차/철도차량
강남소방서,삼성119안전센터,222,강남구,청담동,203820.45,547018.71,37.52264863,127.0432184,3.7,0.6,부주의,기타
강남소방서,삼성119안전센터,451,강남구,청담동,203630.95,547218.09,37.52444581,127.0410757,3.6,0.5,전기적 요인,판매/업무시설
강남소방서,삼성119안전센터,458,강남구,청담동,204898.2902,547292.9914,37.52511482,127.0554131,2.3,2.4,전기적 요인,판매/업무시설
강남소방서,삼성119안전센터,508,강남구,삼성동,204325.71,546024.96,37.51369268,127.0489282,2.2,2.2,부주의,주거
강남소방서,역삼119안전센터,309,강남구,역삼동,203151.99,543985.89,37.49532531,127.0356435,3.7,0.7,미상,주거
강남소방서,영동119안전센터,353,강남구,논현동,203217.79,546515.38,37.51811591,127.0363987,4.1,0.7,부주의,기타
강남소방서,역삼119안전센터,305,강남구,역삼동,203036.6019,544545.6931,37.50036955,127.034341,3.1,1.2,부주의,판매/업무시설
강남소방서,영동119안전센터,616,강남구,압구정동,202607.4514,548006.8728,37.53155622,127.0295,4.2,1.9,전기적 요인,주거
강남소방서,영동119안전센터,152,강남구,신사동,203369.41,547242.75,37.52466899,127.0381171,4,0.5,부주의,기타
강남소방서,삼성119안전센터,307,강남구,대치동,205026.8,544842.67,37.50303664,127.0568502,1.5,1.5,부주의,기타
강남소방서,삼성119안전센터,356,강남구,대치동,204507.97,544947.83,37.50398682,127.0509832,1.7,1.4,전기적 요인,주거
강남소방서,영동119안전센터,458,강남구,논현동,202169.82,545545.69,37.50938202,127.0245415,4.6,2.4,부주의,기타서비스
강남소방서,삼성119안전센터,400,강남구,대치동,204599.1668,544965.7342,37.50414769,127.0520147,1.6,1.5,방화,판매/업무시설
강남소방서,영동119안전센터,432,강남구,논현동,203582.33,545598.78,37.50985596,127.0405178,3,2.2,부주의,판매/업무시설
강남소방서,영동119안전센터,449,강남구,논현동,202277.57,545966.25,37.51317103,127.0257615,4.8,2.2,부주의,판매/업무시설
강남소방서,영동119안전센터,439,강남구,논현동,202363.72,545668.12,37.51048465,127.026735,2.3,4.9,부주의,주거
강남소방서,세곡119안전센터,228,강남구,세곡동,209138.1152,540553.769,37.46436181,127.1032935,4.3,1.4,전기적 요인,주거
강남소방서,삼성119안전센터,359,강남구,삼성동,204477.01,545803.59,37.51169741,127.0506382,2.4,2.4,부주의,생활서비스
강남소방서,역삼119안전센터,347,강남구,역삼동,202972.35,544048.03,37.49588579,127.0336123,3.7,2,부주의,판매/업무시설
강남소방서,역삼119안전센터,500,강남구,역삼동,203019.84,544576.86,37.50065042,127.0341516,3.3,2.3,부주의,판매/업무시설
강남소방서,영동119안전센터,456,강남구,논현동,202244.8201,546133.2651,37.51467592,127.0253916,5,1.9,부주의,판매/업무시설
강남소방서,세곡119안전센터,228,강남구,세곡동,209747.33,540555.78,37.46437371,127.1101798,8.2,1,미상,주거
강남소방서,삼성119안전센터,454,강남구,삼성동,204203.7786,546492.6859,37.51790747,127.0475517,2.6,1.5,부주의,자동차/철도차량
강남소방서,영동119안전센터,252,강남구,논현동,203474.05,546881.73,37.5214158,127.0392991,3.6,0.3,부주의,생활서비스
강남소방서,영동119안전센터,459,강남구,신사동,202735.6449,547077.7246,37.5231842,127.0309469,4.5,0.7,부주의,교육시설
강남소방서,삼성119안전센터,209,강남구,삼성동,205636.99,546099.44,37.51435667,127.0637607,0.8,0.8,전기적 요인,생활서비스
강남소방서,삼성119안전센터,223,강남구,삼성동,205404.7777,545653.0742,37.51033629,127.0611309,0.5,0.5,전기적 요인,자동차/철도차량
강남소방서,삼성119안전센터,354,강남구,삼성동,204360.75,546066.55,37.51406724,127.0493248,2.1,2.1,전기적 요인,생활서비스
강남소방서,영동119안전센터,204,강남구,논현동,203634.88,546293.71,37.51611711,127.0411156,3.4,1.2,부주의,주거
강남소방서,역삼119안전센터,225,강남구,역삼동,203464.44,544541.13,37.50032693,127.0391794,3,0.7,부주의,판매/업무시설
강남소방서,영동119안전센터,514,강남구,신사동,202237.85,546727.18,37.52002713,127.0253145,5.6,1.8,부주의,기타
강남소방서,영동119안전센터,323,강남구,신사동,202424.44,547360.02,37.52572856,127.0274273,5.2,1.8,전기적 요인,판매/업무시설
강남소방서,영동119안전센터,337,강남구,논현동,202074.9,546402.89,37.51710565,127.0234703,6,2.2,부주의,기타
강남소방서,삼성119안전센터,357,강남구,대치동,204734.79,544262.12,37.4978074,127.053544,2.7,1.3,부주의,생활서비스
강남소방서,영동119안전센터,309,강남구,신사동,203233.18,547642.31,37.52826952,127.0365777,4.2,1.2,미상,생활서비스
강남소방서,역삼119안전센터,251,강남구,역삼동,203968.9,544792.17,37.50258679,127.0448857,2.3,0.8,부주의,판매/업무시설
강남소방서,역삼119안전센터,410,강남구,역삼동,202592.14,544252.76,37.49773156,127.0293135,3.9,1.6,부주의,주거
강남소방서,역삼119안전센터,427,강남구,역삼동,203031.22,545295.68,37.50712699,127.0342832,3.6,1.8,부주의,판매/업무시설
강남소방서,역삼119안전센터,500,강남구,역삼동,203484.21,545240.85,37.50663137,127.0394063,3.1,1.4,부주의,기타
강남소방서,역삼119안전센터,446,강남구,역삼동,203067.2635,544727.415,37.50200678,127.0346885,1.6,3.5,부주의,판매/업무시설
강남소방서,세곡119안전센터,650,강남구,자곡동,209482.5415,541669.9893,37.47441559,127.1072011,6.8,0.8,부주의,주거
강남소방서,삼성119안전센터,346,강남구,청담동,204645.0382,547291.5957,37.52510355,127.0525482,2.5,1.5,부주의,판매/업무시설
강남소방서,삼성119안전센터,438,강남구,청담동,203718.9272,547072.9589,37.52313783,127.0420702,3.4,0.5,미상,자동차/철도차량
강남소방서,삼성119안전센터,206,강남구,청담동,203621.12,546960.69,37.52212667,127.0409632,3.8,0.5,전기적 요인,판매/업무시설
강남소방서,삼성119안전센터,248,강남구,삼성동,204646.97,545289.96,37.50706874,127.0525574,1.9,1.9,미상,임야
강남소방서,역삼119안전센터,208,강남구,역삼동,203341.101,544109.6452,37.49643968,127.0377826,3.4,0.9,부주의,판매/업무시설
강남소방서,영동119안전센터,300,강남구,신사동,202696.3,546961.59,37.52213794,127.0305014,5,0.7,미상,판매/업무시설
강남소방서,삼성119안전센터,515,강남구,대치동,205373.82,544492.33,37.49987811,127.0607722,1.9,2,미상,판매/업무시설
강남소방서,세곡119안전센터,614,강남구,세곡동,208820.05,540961.79,37.46804121,127.0997031,7.9,1.7,전기적 요인,생활서비스
강남소방서,세곡119안전센터,201,강남구,세곡동,210258.1101,540694.4431,37.46561756,127.1159554,8.5,1.4,부주의,자동차/철도차량
강남소방서,역삼119안전센터,453,강남구,역삼동,203414.7435,545168.9346,37.50598367,127.0386203,1.7,3.1,부주의,주거
강남소방서,역삼119안전센터,239,강남구,역삼동,204582.56,544267.98,37.49786097,127.0518225,2.7,1.1,미상,산업시설
강남소방서,삼성119안전센터,351,강남구,청담동,204206.48,547013.05,37.52259595,127.0475853,2.8,1.1,부주의,판매/업무시설
강남소방서,세곡119안전센터,608,강남구,자곡동,208947.3585,541779.7318,37.47540972,127.1011522,7,1.5,부주의,기타
강남소방서,역삼119안전센터,404,강남구,역삼동,203127.16,544006.53,37.49551136,127.0353628,1.7,9.7,부주의,판매/업무시설
강남소방서,영동119안전센터,459,강남구,신사동,201884.8144,546494.781,37.51793399,127.0213204,4.1,1.3,전기적 요인,판매/업무시설
강남소방서,역삼119안전센터,322,강남구,역삼동,203738.29,544481.6,37.4997895,127.0422761,2.8,0.4,미상,생활서비스
강남소방서,역삼119안전센터,345,강남구,역삼동,203135.19,544294.96,37.4981101,127.0354549,3.5,1.8,부주의,기타
강남소방서,역삼119안전센터,244,강남구,역삼동,203506.199,543886.7366,37.49443065,127.0396485,3.4,0.7,부주의,기타
강남소방서,수서119안전센터,502,강남구,수서동,209352.0965,543168.7876,37.48792121,127.1057455,5.6,1.7,전기적 요인,주거
강남소방서,삼성119안전센터,404,강남구,삼성동,203909.27,545694.76,37.51071942,127.0442161,2.6,2.6,부주의,판매/업무시설
강남소방서,개포119안전센터,150,강남구,개포동,204333.0459,541673.6913,37.47448742,127.0489856,6,0.5,부주의,주거
강남소방서,삼성119안전센터,402,강남구,삼성동,204300.02,546189.5,37.51517531,127.0486386,2.2,2.2,부주의,주거
강남소방서,영동119안전센터,427,강남구,논현동,203064.0083,546229.9125,37.51554436,127.0346579,3.7,1,부주의,의료/복지시설
강남소방서,영동119안전센터,500,강남구,신사동,202704.51,547103.45,37.52341608,127.0305948,4.7,0.8,부주의,생활서비스
강남소방서,수서119안전센터,458,강남구,수서동,209165.3193,542914.5811,37.48563266,127.1036304,6,1.5,기계적 요인,자동차/철도차량
강남소방서,역삼119안전센터,415,강남구,역삼동,204100.81,545083.33,37.50520958,127.0463791,2,1.4,부주의,판매/업무시설
강남소방서,영동119안전센터,617,강남구,논현동,203234.75,545440.21,37.50842853,127.0365858,3.2,2.4,부주의,판매/업무시설
강남소방서,삼성119안전센터,239,강남구,삼성동,205613.47,546079.2,37.51417445,127.0634945,0.7,0.7,부주의,생활서비스
강남소방서,세곡119안전센터,151,강남구,세곡동,209742.6,540579.98,37.46459181,127.1101267,8.2,1.2,부주의,기타서비스
강남소방서,영동119안전센터,226,강남구,논현동,202563.7996,545936.3183,37.51290059,127.0289989,4.9,2.9,전기적 요인,판매/업무시설
강남소방서,수서119안전센터,416,강남구,수서동,208951.4024,543309.796,37.48919567,127.1012165,5.8,1.4,부주의,주거
강남소방서,영동119안전센터,730,강남구,신사동,201816.9328,546800.8373,37.52069171,127.0205533,5.9,2,부주의,기타
강남소방서,영동119안전센터,315,강남구,신사동,203483.76,547521.66,37.52718155,127.039412,3.9,0.7,전기적 요인,판매/업무시설
강남소방서,삼성119안전센터,414,강남구,청담동,204515.56,547408.54,37.52615786,127.0510841,2.7,1.6,부주의,기타
강남소방서,삼성119안전센터,430,강남구,대치동,204892.93,544633.61,37.50115372,127.0553348,1.9,1.5,부주의,주거
강남소방서,영동119안전센터,351,강남구,신사동,202088.82,546728.89,37.52004288,127.0236287,5.5,1.7,부주의,기타
강남소방서,삼성119안전센터,331,강남구,삼성동,204910.19,545579.67,37.50967768,127.0555363,1.3,1.3,부주의,기타
강남소방서,영동119안전센터,429,강남구,압구정동,202273.4256,548053.8002,37.53197992,127.0257211,7.1,2.5,부주의,생활서비스
강남소방서,영동119안전센터,459,강남구,논현동,203385.34,546894.5,37.52153119,127.0382957,3.7,0.2,부주의,생활서비스
강남소방서,삼성119안전센터,139,강남구,대치동,204800.25,544629.83,37.50112015,127.0542867,1.9,1.9,전기적 요인,주거
강남소방서,역삼119안전센터,358,강남구,역삼동,202778.48,544255.14,37.49775246,127.0314208,4.2,2.6,자연적인 요인,판매/업무시설
강남소방서,역삼119안전센터,720,강남구,역삼동,202526.51,544429.2,37.49932148,127.0285719,4.1,2.5,부주의,생활서비스
강남소방서,삼성119안전센터,404,강남구,대치동,204920.6407,544217.2664,37.49740229,127.0556454,2.3,1.6,자연적인 요인,주거
강남소방서,영동119안전센터,536,강남구,논현동,202947.86,546216.81,37.51542668,127.0333441,4.1,1.3,부주의,기타
강남소방서,영동119안전센터,207,강남구,신사동,202574.16,546857.1,37.52119683,127.0291193,4.9,0.9,부주의,기타
강남소방서,개포119안전센터,34,강남구,개포동,204729.25,541787.9999,37.47551541,127.0534655,5.9,0.4,전기적 요인,생활서비스
강남소방서,삼성119안전센터,257,강남구,청담동,203835.85,547277.94,37.52498423,127.0433939,3.4,0.7,부주의,판매/업무시설
강남소방서,삼성119안전센터,350,강남구,삼성동,204651.2903,545866.7823,37.51226591,127.0526099,1.7,1.7,부주의,기타
강남소방서,역삼119안전센터,442,강남구,역삼동,203544.82,545052.69,37.50493581,127.0400909,2.8,2,부주의,주거
강남소방서,역삼119안전센터,50,강남구,역삼동,203641.19,544039.64,37.4958078,127.0411758,3.2,0.7,전기적 요인,주거
강남소방서,역삼119안전센터,530,강남구,도곡동,203019.13,543015.06,37.4865785,127.0341371,5,1.9,부주의,주거
강남소방서,영동119안전센터,423,강남구,논현동,203681.22,546219.68,37.51544991,127.0416394,3.1,1.1,전기적 요인,생활서비스
강남소방서,영동119안전센터,549,강남구,논현동,202378.15,546466.49,37.51767795,127.0269008,5.1,3.3,부주의,판매/업무시설
강남소방서,수서119안전센터,533,강남구,수서동,209317.76,543286.02,37.48897782,127.1053587,5.6,2.5,전기적 요인,집합시설
강남소방서,영동119안전센터,525,강남구,논현동,203554.94,546651.22,37.51933859,127.0402131,3.6,0.6,부주의,판매/업무시설
강남소방서,수서119안전센터,458,강남구,일원동,207488.72,543962.06,37.49508562,127.0846841,3.9,3.9,부주의,주거
강남소방서,역삼119안전센터,252,강남구,역삼동,203887.42,543874.32,37.49431725,127.0439594,3.9,1,전기적 요인,주거
강남소방서,세곡119안전센터,32,강남구,율현동,209553.5052,541228.5226,37.47043721,127.1079976,7.5,0.3,부주의,기타
강남소방서,삼성119안전센터,458,강남구,청담동,204080.06,547111.89,37.52348707,127.0461557,3,3,부주의,주거
강남소방서,영동119안전센터,200,강남구,논현동,203351.7218,546990.2159,37.52239372,127.0379158,3.8,0.1,전기적 요인,판매/업무시설
강남소방서,역삼119안전센터,250,강남구,역삼동,203845.32,544419.69,37.49923125,127.0434861,2.7,1.2,기타,주거
강남소방서,삼성119안전센터,321,강남구,삼성동,204809.41,545571.84,37.50960766,127.0543964,1.5,1.5,부주의,주거
