소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,현장소방서거리,현장안전센터거리,발화요인대분류명,시설장소대분류명
frstt_nm,ward_nm,dsp_reqre_time,sigungu_nm,emd_nm,gis_x_axis,gis_y_axis,spt_frstt_dist,spt_safe_cnter_dist,ign_fctr_lclas_nm,fclty_place_lclas_nm
강남소방서,삼성119안전센터,430,강남구,대치동,204892.93,544633.61,1.9,1.5,부주의,주거
강동소방서,고덕119안전센터,326,강동구,명일동,212585.71,550391.52,4.5,1.6,전기적 요인,주거
영등포소방서,여의도119안전센터,359,영등포구,여의도동,193023.2161,547934.1476,3.1,1.8,부주의,주거
양천소방서,신월119안전센터,417,양천구,신월동,185030.6869,548879.7745,6,2.3,부주의,생활서비스
영등포소방서,대림119안전센터,145,영등포구,대림동,191488.3942,544021.1164,4.2,0.3,미상,자동차/철도차량
송파소방서,잠실119안전센터,338,송파구,삼전동,208222.68,545244.37,5.5,0.8,부주의,기타
강북소방서,번동119안전센터,420,강북구,번동,202385.98,559895.75,1.5,1.5,전기적 요인,주거
종로소방서,세종로119안전센터,324,종로구,청진동,198134.84,552495.13,1.3,1.3,전기적 요인,판매/업무시설
도봉소방서,창동119안전센터,354,도봉구,창동,203735.2955,560089.8499,3.1,0.9,부주의,주거
중랑소방서,중화119안전센터,150,중랑구,중화동,207023.69,555921.02,3,0.3,기계적 요인,생활서비스
강동소방서,고덕119안전센터,145,강동구,고덕동,213787.5037,550938.3409,5.5,1,제품결함,주거
강남소방서,영동119안전센터,351,강남구,신사동,202088.82,546728.89,5.5,1.7,부주의,기타
동대문소방서,장안119안전센터,255,동대문구,장안동,206676.4106,552491.144,1,0.8,부주의,생활서비스
관악소방서,난곡119안전센터,351,관악구,신림동,191464.1017,542283.2666,5.6,1.9,미상,자동차/철도차량
서초소방서,우면119안전센터,700,서초구,우면동,201357.35,539747.14,6.9,3.4,부주의,기타
서초소방서,양재119안전센터,309,서초구,양재동,203506.25,542806.05,6.4,2.5,부주의,생활서비스
광진소방서,능동119안전센터,456,광진구,자양동,206690.02,548686,2.5,2.3,전기적 요인,주거
중부소방서,회현119안전센터,419,중구,중림동,197241.84,550985.76,5.5,1.5,전기적 요인,산업시설
종로소방서,연건119안전센터,103,종로구,이화동,200260.6752,553103.6291,1.5,0.7,미상,교육시설
서대문소방서,홍은119안전센터,329,서대문구,홍은동,193692.23,553406.68,1.3,1.3,부주의,주거
영등포소방서,당산119안전센터,223,영등포구,양평동4가,190749.21,548578.93,3.7,0.8,부주의,기타
서대문소방서,연희119안전센터,144,서대문구,연희동,193830.52,552951.39,1.1,1.1,부주의,기타
중부소방서,회현119안전센터,145,중구,회현동1가,198374.18,550868.6,3.5,0.5,부주의,기타
영등포소방서,신길119안전센터,400,영등포구,신길동,192734.07,546442.47,2,1.2,부주의,판매/업무시설
성동소방서,왕십리119안전센터,350,성동구,마장동,203621.05,552201.03,3,1.5,부주의,판매/업무시설
구로소방서,수궁119안전센터,409,구로구,오류동,186024.62,543916,2.3,1.4,부주의,판매/업무시설
송파소방서,가락119안전센터,434,송파구,가락동,210922.9157,544103.1342,3.2,1.5,부주의,기타
강남소방서,삼성119안전센터,331,강남구,삼성동,204910.19,545579.67,1.3,1.3,부주의,기타
마포소방서,성산119안전센터,320,마포구,성산동,192084.55,551079.37,3,2.2,부주의,주거
송파소방서,잠실119안전센터,333,송파구,삼전동,208329.6,544519.99,5.5,1.5,부주의,기타
용산소방서,이태원119안전센터,551,용산구,한남동,200875.34,548005.97,3.7,2,부주의,주거
성동소방서,행당119안전센터,255,성동구,옥수동,203090.844,548659.179,3,2,교통사고,자동차/철도차량
양천소방서,양천119안전센터,300,양천구,목동,187988.8014,547508.6484,1.3,1.3,전기적 요인,생활서비스
성북소방서,돈암119안전센터,206,성북구,동소문동4가,201071.86,554767.79,3.5,0.5,부주의,주거
종로소방서,연건119안전센터,417,종로구,명륜3가,199595.6,554227.07,2.5,2.4,부주의,기타
구로소방서,수궁119안전센터,312,구로구,온수동,184089.15,543603.63,4.4,1.5,부주의,생활서비스
송파소방서,잠실119안전센터,435,송파구,송파동,209718.51,545011.08,4.1,2.5,부주의,주거
용산소방서,한강로119안전센터,326,용산구,원효로2가,196589.9911,548393.4345,1.3,1.3,부주의,주거
영등포소방서,당산119안전센터,624,영등포구,당산동,191236.142,548944.867,3.3,1.2,부주의,기타
송파소방서,가락119안전센터,451,송파구,가락동,211168.25,544605.07,2.4,2.2,전기적 요인,생활서비스
강남소방서,영동119안전센터,429,강남구,압구정동,202273.4256,548053.8002,7.1,2.5,부주의,생활서비스
성북소방서,돈암119안전센터,57,성북구,동소문동6가,201317.1849,554798.6747,2.8,0.4,부주의,판매/업무시설
동대문소방서,전농119안전센터,249,동대문구,전농동,204351.6801,552965.2111,4,0.5,부주의,주거
송파소방서,마천119안전센터,443,송파구,장지동,211951.2387,542389.2012,4.3,4.3,부주의,자동차/철도차량
마포소방서,공덕119안전센터,211,마포구,아현동,195773.0724,550746.4669,2.2,1.2,부주의,기타
영등포소방서,대림119안전센터,459,영등포구,대림동,190669.8213,544440.1421,3.6,1.3,부주의,기타서비스
마포소방서,서교119안전센터,451,마포구,망원동,191238.12,551082.97,4,2,전기적 요인,판매/업무시설
종로소방서,종로119안전센터,300,종로구,경운동,198774.5998,552801.1416,1.3,1.1,부주의,생활서비스
강동소방서,천호119안전센터,340,강동구,천호동,211004.7704,549219.7082,2.4,1.5,부주의,생활서비스
구로소방서,수궁119안전센터,410,구로구,천왕동,185995.22,542186.18,4.5,2.7,부주의,생활서비스
용산소방서,이태원119안전센터,227,용산구,이태원동,198907.72,548862.27,2.1,1.4,부주의,생활서비스
송파소방서,마천119안전센터,347,송파구,문정동,211523.2312,543473.3536,3,3,제품결함,자동차/철도차량
서초소방서,서초119안전센터,403,서초구,서초동,200756.99,543515.36,2.7,2.3,부주의,판매/업무시설
서초소방서,잠원119안전센터,501,서초구,서초동,201937.2164,544854.652,2.9,2.1,전기적 요인,판매/업무시설
금천소방서,금천119안전센터,400,금천구,독산동,191465.5007,541501.3259,1.4,1.4,방화의심,자동차/철도차량
관악소방서,봉천119안전센터,443,관악구,봉천동,193603.6891,543557.3434,4.4,0.8,부주의,기타
동작소방서,백운119안전센터,344,동작구,사당동,196986.4543,542547.875,6.9,1.8,부주의,기타
마포소방서,서교119안전센터,600,마포구,연남동,192934.62,551267.18,2.9,3.4,부주의,기타
동작소방서,상도119안전센터,410,동작구,상도동,194252.18,544911.16,4,1.1,부주의,주거
양천소방서,양천119안전센터,225,양천구,목동,188943.01,547654.04,0.8,0.8,부주의,교육시설
강서소방서,등촌119안전센터,205,강서구,등촌동,187411.5048,550959.1871,0.3,0.3,미상,주거
송파소방서,가락119안전센터,400,송파구,가락동,210801.63,544146.05,3,1.8,부주의,기타
강서소방서,개화119안전센터,310,강서구,방화동,182982.5067,551585.2794,5.3,1.8,부주의,판매/업무시설
중부소방서,무학119안전센터,331,중구,황학동,201978.1549,551933.1261,0.6,0.6,부주의,주거
마포소방서,신수119안전센터,300,마포구,노고산동,194553.98,550454.17,1.1,1.1,부주의,주거
구로소방서,고일119안전센터,440,구로구,개봉동,187415.42,543095.11,2.1,2.1,부주의,주거
성동소방서,행당119안전센터,630,성동구,행당동,203539.3939,550857.8138,1,1,전기적 요인,주거
마포소방서,신수119안전센터,150,마포구,신수동,194473.3451,549700.2062,0.7,0.7,전기적 요인,주거
강남소방서,영동119안전센터,459,강남구,논현동,203385.34,546894.5,3.7,0.2,부주의,생활서비스
강북소방서,우이119안전센터,453,강북구,수유동,201382.4,560994.25,3,1.8,부주의,주거
성북소방서,길음119안전센터,332,성북구,정릉동,200804.9,555685.8,3.5,2,부주의,기타
서대문소방서,북가좌119안전센터,248,서대문구,북가좌동,192541.44,553273.36,2.5,0.6,부주의,기타
