읍면동명,갯수,법정동,행정기관코드
남창동,6,남창동,1114054000
묘동,6,묘동,1111061500
관철동,6,관철동,1111061500
중동,6,중동,1144073000
청파동2가,6,청파동2가,1117055500
원효로2가,6,원효로2가,1117056000
청파동3가,6,청파동3가,1117055500
종로5가,6,종로5가,1111063000
사근동,6,사근동,1120055000
신설동,6,신설동,1123053600
옥천동,5,옥천동,1141052000
문래동5가,5,문래동5가,1156060500
개화동,5,개화동,1150064000
노고산동,5,노고산동,1144060000
송정동,5,송정동,1120072000
동선동3가,5,동선동3가,1129057500
금호동1가,5,금호동1가,1120059000
원효로1가,5,원효로1가,1117056000
능동,5,능동,1121578000
돈의동,4,돈의동,1111061500
서빙고동,4,서빙고동,1117069000
인현동2가,4,인현동2가,1114059000
을지로6가,4,을지로6가,1114059000
청진동,4,청진동,1111061500
원남동,4,원남동,1111061500
익선동,4,익선동,1111061500
수송동,4,수송동,1111061500
서계동,4,서계동,1117055500
갈월동,4,갈월동,1117053000
청파동1가,4,청파동1가,1117055500
양평동2가,4,양평동2가,1156061000
영등포동5가,4,영등포동5가,1156053500
상도1동,4,상도1동,1159053000
삼선동1가,4,삼선동1가,1129055500
충정로2가,4,충정로2가,1141056500
양평동1가,4,양평동1가,1156061000
당산동5가,4,당산동5가,1156056000
외발산동,4,외발산동,1150061100
성북동,4,성북동,1129052500
궁동,4,궁동,1153079000
삼선동4가,4,삼선동4가,1129055500
보문동2가,4,보문동2가,1129061000
본동,4,본동,1159051000
천왕동,4,천왕동,1153078000
문래동2가,4,문래동2가,1156060500
상월곡동,3,상월곡동,1129072500
동선동4가,3,동선동4가,1129057500
장사동,3,장사동,1111061500
오장동,3,오장동,1114059000
명동2가,3,명동2가,1114055000
안암동3가,3,안암동3가,1129060000
명륜1가,3,명륜1가,1111065000
동선동2가,3,동선동2가,1129057500
보문동7가,3,보문동7가,1129061000
충무로1가,3,충무로1가,1114054000
용문동,3,용문동,1117059000
온수동,3,온수동,1153079000
동소문동5가,3,동소문동5가,1129055500
안암동1가,3,안암동1가,1129060000
낙원동,3,낙원동,1111061500
원지동,3,원지동,1165065200
종로3가,3,종로3가,1111061500
중림동,3,중림동,1114068000
