"연번","서ㆍ센터ID","서ㆍ센터명","유형구분명","도서지역포함여부","상위서ㆍ센터ID","일련번호","X좌표","Y좌표"
"1","1109101","종암119안전센터","안전센터/구조대"," ","1109000","137","202791.96441000","555883.19956600"
"2","1109201","구조대","안전센터/구조대"," ","1109000","138","202816.89369800","555864.51538500"
"3","1109000","성북소방서","소방서"," ","1100000","139","202804.14903600","555873.75998800"
"4","1107102","청량리119안전센터","안전센터/구조대"," ","1107000","140","204625.88956800","554177.41885100"
"5","1125104","삼각산119안전센터","안전센터/구조대"," ","1125000","141","201365.26879500","557807.80017000"
"6","1117105","개화119안전센터","안전센터/구조대"," ","1117000","142","182606.22971800","552851.94829200"
"7","1123201","119구조대","안전센터/구조대"," ","1123000","143","194220.38455300","552477.26472100"
"8","1123000","서대문소방서","소방서"," ","1100000","144","194337.76982500","552637.43659000"
"9","1106000","용산소방서","소방서"," ","1100000","145","197483.52718000","548286.90582400"
"10","1106101","한강로119안전센터","안전센터/구조대"," ","1106000","146","197475.76005400","548278.77321700"
"11","1106201","구조대","안전센터/구조대"," ","1106000","147","197492.98237500","548295.29312200"
"12","1102000","동작소방서","소방서"," ","1100000","148","192720.09896400","543910.66210300"
"13","1102101","동작119안전센터","안전센터/구조대"," ","1102000","149","192707.36643600","543910.39901000"
"14","1102201","구조대","안전센터/구조대"," ","1102000","150","192731.61975900","543910.74737400"
"15","1120105","종합운동장119안전센터","안전센터/구조대"," ","1120000","151","206275.59932300","546084.18538000"
"16","1107105","휘경119안전센터","안전센터/구조대"," ","1107000","152","205752.84008900","554569.37835100"
"17","1121105","신트리119안전센터","안전센터/구조대"," ","1121000","153","186559.88464200","545696.92461000"
"18","1113107","상암119안전센터","안전센터/구조대"," ","1113000","154","189510.67400000","553380.00600000"
"19","1106102","이촌119안전센터","안전센터/구조대"," ","1106000","155","195879.73823200","547839.35314500"
"20","1121000","양천소방서","소방서"," ","1100000","156","188708.93588200","547859.28857400"
"21","1100212","북한산산악구조대","안전센터/구조대"," ","1100000","157","194994.66571900","560097.88896300"
"22","1126305","반포수난구조대","안전센터/구조대"," ","1100000","158","198175.28241500","545201.81074500"
"23","1100211","도봉산산악구조대","안전센터/구조대"," ","1100000","159","203074.04665600","565427.99142000"
"24","1100213","관악산산악구조대","안전센터/구조대"," ","1100000","160","195129.59190000","539763.99600200"
"25","1127301","성수119안전센터","안전센터/구조대"," ","1127000","161","205362.46810400","548633.01066100"
"26","1105107","중곡119안전센터","안전센터/구조대"," ","1105000","162","207654.21809300","551938.09056800"
"27","1127302","왕십리119안전센터","안전센터/구조대"," ","1127000","163","203136.05691700","551389.95402700"
"28","1127303","금호119안전센터","안전센터/구조대"," ","1127000","164","202151.58183600","550503.68750700"
"29","1127402","구조대","안전센터/구조대"," ","1127000","165","203498.41030300","550472.82107000"
"30","1127401","행당119안전센터","안전센터/구조대"," ","1127000","166","203478.78306200","550454.88151200"
"31","1127000","성동소방서","소방서"," ","1100000","167","203491.17069700","550460.99593000"
"32","1105103","능동119안전센터","안전센터/구조대"," ","1105000","168","206799.95719400","550240.66881600"
"33","1126304","뚝섬수난구조대","안전센터/구조대"," ","1105000","169","205355.39075400","547981.18054200"
"34","1105000","광진소방서","소방서"," ","1100000","170","207312.91967300","549483.16212200"
"35","1105402","구조대","안전센터/구조대"," ","1105000","171","207318.93658300","549481.43352800"
"36","1105401","구의119안전센터","안전센터/구조대"," ","1105000","172","207305.85009000","549485.43858600"
"37","1114107","세곡119안전센터","안전센터/구조대"," ","1114000","173","209487.11495600","541229.37768100"
"38","1100512","본부현장대응단","안전센터/구조대"," ","1100000","174","199041.96291300","551037.28760900"
"39","1117106","마곡119안전센터","안전센터/구조대"," ","1117000","175","184158.52910600","550727.28555100"
"40","1118106","강일119안전센터","안전센터/구조대"," ","1118000","176","215876.12877900","550883.69423800"
"41","1126307","광나루수난구조대","안전센터/구조대"," ","1126000","177","210400.25000000","549496.70000000"
"42","1110108","쌍문119안전센터","안전센터/구조대"," ","1110000","1","202367.98100000","560953.28700000"
"43","1125000","강북소방서","소방서"," ","1100000","2","203372.13415000","559271.25373500"
"44","1125101","번동119안전센터","안전센터/구조대"," ","1125000","3","203369.03920700","559276.67560400"
"45","1125201","구조대","안전센터/구조대"," ","1125000","4","203375.74270700","559265.79495200"
"46","1113105","공덕119안전센터","안전센터/구조대"," ","1113000","5","196444.77984900","550061.60010800"
"47","1103108","종로119안전센터","안전센터/구조대"," ","1103000","6","199314.85600000","552411.26800000"
"48","1103000","종로소방서","소방서"," ","1100000","7","198136.56227900","552591.17803500"
"49","1103102","세종로119안전센터","안전센터/구조대"," ","1103000","8","198138.07827900","552597.22503500"
"50","1112105","녹번119안전센터","안전센터/구조대"," ","1112000","9","194253.57539800","555729.36896400"
"51","1112202","119구조대","안전센터/구조대"," ","1112000","10","192919.99074300","558806.00204700"
"52","1116102","봉천119안전센터","안전센터/구조대"," ","1116000","11","194824.20500000","542949.90000000"
"53","1120106","가락119안전센터","안전센터/구조대"," ","1120000","12","210034.27309200","544119.02997100"
"54","1113103","염리119안전센터","안전센터/구조대"," ","1113000","13","195187.58053200","549133.37920800"
"55","1119108","공단119안전센터","안전센터/구조대"," ","1119000","14","191021.31692500","542757.69176900"
"56","1108000","영등포소방서","소방서"," ","1100000","15","191526.84214200","546560.60757000"
"57","1108101","영등포119안전센터","안전센터/구조대"," ","1108000","16","191529.16114200","546547.26857000"
"58","1108201","구조대","안전센터/구조대"," ","1108000","17","191531.84814200","546551.60057000"
"59","1114000","강남소방서","소방서"," ","1100000","18","205904.58100000","545647.84700000"
"60","1114402","구조대","안전센터/구조대"," ","1114000","19","205898.61273600","545643.35293400"
"61","1114401","삼성119안전센터","안전센터/구조대"," ","1114000","20","205916.57700000","545650.85200000"
"62","1117104","발산119안전센터","안전센터/구조대"," ","1117000","21","185588.49400000","550648.75300000"
"63","1108103","당산119안전센터","안전센터/구조대"," ","1108000","22","191092.14100000","548448.62200000"
"64","1115104","서초119안전센터","안전센터/구조대"," ","1115000","23","202439.13682300","543179.17255600"
"65","1123101","연희119안전센터","안전센터/구조대"," ","1123000","24","194344.55800000","552625.20700000"
"66","1113106","성산119안전센터","안전센터/구조대"," ","1113000","25","191440.25100200","552344.46175200"
"67","1118000","강동소방서","소방서"," ","1100000","26","211043.48766900","547760.41718700"
"68","1122102","면목119안전센터","안전센터/구조대"," ","1122000","27","207055.48100000","552592.48200000"
"69","1122103","망우119안전센터","안전센터/구조대"," ","1122000","28","208881.69428000","555365.98482400"
"70","1120102","거여119안전센터","안전센터/구조대"," ","1120000","29","213423.65221500","543861.49954700"
"71","1118101","성내119안전센터","안전센터/구조대"," ","1118000","30","211038.26813400","547762.82036500"
"72","1118103","고덕119안전센터","안전센터/구조대"," ","1118000","31","213433.65025300","550859.46803300"
"73","1118104","암사119안전센터","안전센터/구조대"," ","1118000","32","211367.26236500","550503.15847600"
"74","1118201","구조대","안전센터/구조대"," ","1118000","33","211050.11338200","547757.01500800"
"75","1110106","도봉119안전센터","안전센터/구조대"," ","1110000","34","203608.20240000","565323.04060000"
"76","1122104","중화119안전센터","안전센터/구조대"," ","1122000","35","207004.39900000","555658.69300000"
"77","1109103","길음119안전센터","안전센터/구조대"," ","1109000","36","201690.03400000","555917.92400000"
"78","1109104","장위119안전센터","안전센터/구조대"," ","1109000","37","205140.28277500","557337.14159500"
"79","1125102","우이119안전센터","안전센터/구조대"," ","1125000","38","201461.94131900","560141.80109200"
"80","1125103","미아119안전센터","안전센터/구조대"," ","1125000","39","202500.72325800","557825.97995000"
"81","1111000","노원소방서","소방서"," ","1100000","40","206278.71010600","559835.89427800"
"82","1110000","도봉소방서","소방서"," ","1100000","41","203797.40450000","562711.42238400"
"83","1111102","상계119안전센터","안전센터/구조대"," ","1111000","42","206323.82300000","561714.88622100"
"84","1116000","관악소방서","소방서"," ","1100000","43","195785.50152000","541613.17988900"
"85","1114103","영동119안전센터","안전센터/구조대"," ","1114000","44","203265.81145800","546962.39978600"
"86","1116401","관악119안전센터","안전센터/구조대"," ","1116000","45","195784.87841200","541621.21032600"
"87","1119106","시흥119안전센터","안전센터/구조대"," ","1119000","46","191196.72114800","538802.57141300"
"88","1115102","방배119안전센터","안전센터/구조대"," ","1115000","47","198957.09600000","541787.00100000"
"89","1115105","잠원119안전센터","안전센터/구조대"," ","1115000","48","201028.56400000","544400.94500000"
"90","1116402","구조대","안전센터/구조대"," ","1116000","49","195787.34536000","541603.89000600"
"91","1116104","난곡119안전센터","안전센터/구조대"," ","1116000","50","192577.70921400","541810.02130600"
"92","1119105","독산119안전센터","안전센터/구조대"," ","1119000","51","190995.08336300","540948.68616300"
"93","1103106","신영119안전센터","안전센터/구조대"," ","1103000","52","196541.31728700","556245.85926700"
"94","1115000","서초소방서","소방서"," ","1100000","53","199288.37585400","544328.95152000"
"95","1108102","여의도119안전센터","안전센터/구조대"," ","1108000","54","193636.43027000","546419.55176000"
"96","1106105","서빙고119안전센터","안전센터/구조대"," ","1106000","55","199560.74741400","546816.07316300"
"97","1115401","반포119안전센터","안전센터/구조대"," ","1115000","56","199278.08471400","544329.03800000"
