GIS_X좌표,GIS_Y좌표,경도,위도
203672.7963,544819.5166,127.0415370834687,37.502834407905226
204086.23,545674.77,127.04621751525211,37.51053854556427
205250.73,545167.97,127.05938502937084,37.5059663675551
205702.2559,544627.7565,127.06448753538001,37.50109633918901
202013.5147,545584.4746,127.0227737172971,37.5097318263181
201956.95,546374.04,127.02213604724058,37.51684596397665
202963.25,543913.62,127.03350890202924,37.49467477277742
205442.3099,544585.098,127.06154745919375,37.500713551996924
203587.61,543823.62,127.04056882405008,37.49386165309878
204325.71,546024.96,127.04892822490827,37.5136926804011
203436.6,547276.54,127.03887732983652,37.52497319096771
203466.4291,547546.1345,127.03921604986188,37.52740213099911
205186.2025,545837.0143,127.05865994964368,37.511994849960175
204812.46,541630.65,127.0544051379705,37.4740972460674
205667.7647,541951.5532,127.06407687032403,37.476983766084956
204123.43,545113.01,127.04663511879984,37.50547689673357
203686.15,547411.38,127.0417010973411,37.52618713900087
202589.1394,545345.4617,127.02928343828174,37.50757687424714
202795.09,544008.88,127.03160768401085,37.49553359585613
205024.2594,545319.0236,127.05682471102793,37.5073286274235
202499.49,545400.8,127.02826968230103,37.50807572200516
206034.7834,544162.4902,127.06824431353756,37.49690215084361
202460.4209,547301.731,127.02783416445806,37.52520328129265
204948.66,547164.56,127.05598209695313,37.523957379562916
203042.98,544281.34,127.03441202161994,37.49798769479665
202636.34,548162.03,127.02982738207737,37.532954102887224
204825.74,545404.44,127.05458000456764,37.50809929182431
205199.6,545429.97,127.05880860823154,37.50832728879168
208480.02,541457.88,127.09586508554332,37.47251420815356
202308.87,545027.23,127.02611256355763,37.50471033371431
203675.62,545538.79,127.04157261134405,37.509315085676086
203452.8923,546592.0293,127.03905842503424,37.51880567116477
202888.88,545211.71,127.03267301021108,37.506370875796954
208532.7307,543464.9076,127.09648421925044,37.490597195732576
202603.99,546116.89,127.02945413123368,37.51452743477082
202420.65,546978.24,127.0273831803389,37.522288724823376
204445.23,544782.43,127.05027261009414,37.502496860952235
204186.45,545839.48,127.04735199589729,37.5120221404426
201922.48,546616.26,127.02174677305788,37.519028446642814
207282.9752,543599.965,127.08235390571684,37.491824767498144
202682.98,545636.63,127.0303458471746,37.510200046261076
207543.94,542826.75,127.08529690016898,37.48485595306631
202298.96,544892.79,127.02600006464723,37.503499046769846
205735.6092,544423.87,127.06486314279518,37.49925910405769
205023.63,545584.54,127.05681940574235,37.50972094523627
203336.6073,542880.1128,127.03772620139323,37.48536152287649
203123.5247,547406.9416,127.03533614814529,37.52614922479453
201892.767,547642.5451,127.02141330724932,37.528275361900825
203820.45,547018.71,127.0432183803123,37.52264862769195
203630.95,547218.09,127.04107566977821,37.524445811034624
204898.2902,547292.9914,127.0554131408397,37.52511481769694
204325.71,546024.96,127.04892822490827,37.5136926804011
203151.99,543985.89,127.03564351304475,37.495325305677035
203217.79,546515.38,127.03639866003513,37.51811590808383
203036.6019,544545.6931,127.03434098462553,37.50036955331297
202607.4514,548006.8728,127.02949998772728,37.53155621694757
203369.41,547242.75,127.03811707272827,37.524668990108175
205026.8,544842.67,127.05685019073722,37.50303664437391
204507.97,544947.83,127.05098317106851,37.503986819579836
202169.82,545545.69,127.02454148291754,37.50938202122194
204599.1668,544965.7342,127.05201467856112,37.50414768769687
203582.33,545598.78,127.04051775960606,37.509855964875676
202277.57,545966.25,127.02576147826565,37.513171025463045
202363.72,545668.12,127.02673495829995,37.510484645042254
209138.1152,540553.769,127.10329351245693,37.46436181234536
204477.01,545803.59,127.05063823520885,37.511697406921414
202972.35,544048.03,127.03361234901004,37.495885786639604
203019.84,544576.86,127.03415155192914,37.50065042386991
202244.8201,546133.2651,127.0253915556557,37.51467591825097
209747.33,540555.78,127.11017984240375,37.46437371171179
204203.7786,546492.6859,127.047551729797,37.517907469900706
203474.05,546881.73,127.03929912558966,37.52141580330666
202735.6449,547077.7246,127.0309468749118,37.5231842036726
205636.99,546099.44,127.06376071255711,37.51435667267783
205404.7777,545653.0742,127.06113085080021,37.510336288848606
204360.75,546066.55,127.04932480979318,37.514067242985824
203634.88,546293.71,127.04111555817367,37.51611710595781
203464.44,544541.13,127.03917939081636,37.50032693390229
202237.85,546727.18,127.02531452321385,37.52002712852172
202424.44,547360.02,127.0274273132914,37.525728561650475
202074.9,546402.89,127.02347032041683,37.517105645894425
204734.79,544262.12,127.05354399321689,37.497807399134516
203233.18,547642.31,127.03657770371542,37.52826952059821
203968.9,544792.17,127.0448856870998,37.502586788590776
202592.14,544252.76,127.02931352603193,37.49773156230174
203031.22,545295.68,127.03428321037039,37.50712699339118
203484.21,545240.85,127.03940628331499,37.50663137438569
203067.2635,544727.415,127.03468849459439,37.50200677682342
209482.5415,541669.9893,127.10720112128855,37.474415593011294
204645.0382,547291.5957,127.05254815615655,37.52510355186456
203718.9272,547072.9589,127.042070190611,37.52313782623765
203621.12,546960.69,127.04096319844031,37.52212666964968
204646.97,545289.96,127.05255736071408,37.50706873871255
203341.101,544109.6452,127.03778259016357,37.49643968357686
202696.3,546961.59,127.03050136136527,37.52213794377005
205373.82,544492.33,127.06077222515822,37.499878108156814
208820.05,540961.79,127.09970312074661,37.46804120997819
210258.1101,540694.4431,127.11595541126576,37.46561755537321
203414.7435,545168.9346,127.03862028619331,37.50598367254934
204582.56,544267.98,127.05182251745352,37.49786096581219
204206.48,547013.05,127.04758526447146,37.522595952275815
208947.3585,541779.7318,127.10115216311104,37.47540971654317
203127.16,544006.53,127.03536281675834,37.49551135783246
201884.8144,546494.781,127.02132039468846,37.517933994599254
