연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,도서지역포함여부,상위서ㆍ센터ID,일련번호,X좌표,Y좌표,위도,경도
62,1117104,발산119안전센터,안전센터/구조대, ,1117000,21,185588.494,550648.753,37.55525058,126.8369006
63,1108103,당산119안전센터,안전센터/구조대, ,1108000,22,191092.141,548448.622,37.53549706,126.8992136
64,1115104,서초119안전센터,안전센터/구조대, ,1115000,23,202439.1368,543179.1726,37.48805888,127.0275797
65,1123101,연희119안전센터,안전센터/구조대, ,1123000,24,194344.558,552625.207,37.57315365,126.9359803
66,1113106,성산119안전센터,안전센터/구조대, ,1113000,25,191440.251,552344.4618,37.57060174,126.9031068
67,1118000,강동소방서,소방서, ,1100000,26,211043.4877,547760.4172,37.52927325,127.1249391
68,1122102,면목119안전센터,안전센터/구조대, ,1122000,27,207055.481,552592.482,37.57284914,127.0798678
69,1122103,망우119안전센터,안전센터/구조대, ,1122000,28,208881.6943,555365.9848,37.59782237,127.1005741
70,1120102,거여119안전센터,안전센터/구조대, ,1120000,29,213423.6522,543861.4995,37.4941124,127.1517956
71,1118101,성내119안전센터,안전센터/구조대, ,1118000,30,211038.2681,547762.8204,37.52929496,127.1248801
72,1118103,고덕119안전센터,안전센터/구조대, ,1118000,31,213433.6503,550859.468,37.55716388,127.1520366
73,1118104,암사119안전센터,안전센터/구조대, ,1118000,32,211367.2624,550503.1585,37.55398134,127.1286446
74,1118201,구조대,안전센터/구조대, ,1118000,33,211050.1134,547757.015,37.52924251,127.1250141
75,1110106,도봉119안전센터,안전센터/구조대, ,1110000,34,203608.2024,565323.0406,37.68756964,127.0409076
76,1122104,중화119안전센터,안전센터/구조대, ,1122000,35,207004.399,555658.693,37.60047584,127.0793189
77,1109103,길음119안전센터,안전센터/구조대, ,1109000,36,201690.034,555917.924,37.60283659,127.0191388
78,1109104,장위119안전센터,안전센터/구조대, ,1109000,37,205140.2828,557337.1416,37.61561078,127.0582211
79,1125102,우이119안전센터,안전센터/구조대, ,1125000,38,201461.9413,560141.8011,37.64089359,127.0165642
80,1125103,미아119안전센터,안전센터/구조대, ,1125000,39,202500.7233,557825.98,37.62002612,127.028326
81,1111000,노원소방서,소방서, ,1100000,40,206278.7101,559835.8943,37.63811713,127.0711369
82,1110000,도봉소방서,소방서, ,1100000,41,203797.4045,562711.4224,37.66403874,127.043039
83,1111102,상계119안전센터,안전센터/구조대, ,1111000,42,206323.823,561714.8862,37.65504622,127.0716643
84,1116000,관악소방서,소방서, ,1100000,43,195785.5015,541613.1799,37.47394276,126.9523549
85,1114103,영동119안전센터,안전센터/구조대, ,1114000,44,203265.8115,546962.3998,37.5221434,127.0369439
86,1116401,관악119안전센터,안전센터/구조대, ,1116000,45,195784.8784,541621.2103,37.47401511,126.9523479
87,1119106,시흥119안전센터,안전센터/구조대, ,1119000,46,191196.7211,538802.5714,37.44858657,126.9005122
88,1115102,방배119안전센터,안전센터/구조대, ,1115000,47,198957.096,541787.001,37.47551792,126.9882097
89,1115105,잠원119안전센터,안전센터/구조대, ,1115000,48,201028.564,544400.945,37.49906978,127.0116318
90,1116402,구조대,안전센터/구조대, ,1116000,49,195787.3454,541603.89,37.47385906,126.9523758
91,1116104,난곡119안전센터,안전센터/구조대, ,1116000,50,192577.7092,541810.0213,37.47569613,126.9160888
92,1119105,독산119안전센터,안전센터/구조대, ,1119000,51,190995.0834,540948.6862,37.46792136,126.8982073
93,1103106,신영119안전센터,안전센터/구조대, ,1103000,52,196541.3173,556245.8593,37.60578631,126.9608306
94,1115000,서초소방서,소방서, ,1100000,53,199288.3759,544328.9515,37.49842142,126.9919524
95,1108102,여의도119안전센터,안전센터/구조대, ,1108000,54,193636.4303,546419.5518,37.51723617,126.9280181
96,1106105,서빙고119안전센터,안전센터/구조대, ,1106000,55,199560.7474,546816.0732,37.52083067,126.9950311
97,1115401,반포119안전센터,안전센터/구조대, ,1115000,56,199278.0847,544329.038,37.49842219,126.9918361
98,1115402,구조대,안전센터/구조대, ,1115000,57,199298.7912,544328.2398,37.49841501,126.9920702
99,1119000,구로소방서,소방서, ,1100000,58,188078.719,544268.3602,37.49779883,126.8651867
100,1119102,수궁119안전센터,안전센터/구조대, ,1119000,59,184928.5011,544104.9057,37.49628008,126.8295655
101,1119401,고일119안전센터,안전센터/구조대, ,1119000,60,188088.2403,544276.0834,37.49786854,126.8652942
102,1119103,고척119안전센터,안전센터/구조대, ,1119000,61,187170.2995,545059.5729,37.50491552,126.8548999
103,1119107,신도림119안전센터,안전센터/구조대, ,1119000,62,189498.0332,545329.6416,37.50737825,126.881222
104,1108104,대림119안전센터,안전센터/구조대, ,1108000,63,191515.0846,544212.2561,37.49733129,126.9040478
105,1119104,구로119안전센터,안전센터/구조대, ,1119000,64,189614.7932,543865.6649,37.49418908,126.8825632
106,1119402,구조대,안전센터/구조대, ,1119000,65,188070.3604,544260.2451,37.49772561,126.8650923
107,1112108,진관119안전센터,안전센터/구조대, ,1112000,66,192920.226,558822.3962,37.62897984,126.919797
108,1121103,목동119안전센터,안전센터/구조대, ,1121000,67,189711.0972,549259.3062,37.54278694,126.8835767
109,1121102,신정119안전센터,안전센터/구조대, ,1121000,68,186823.7152,546934.9492,37.5218078,126.8509466
110,1115106,우면119안전센터,안전센터/구조대, ,1115000,69,202109.1044,542354.5062,37.48062938,127.0238456
111,1115103,양재119안전센터,안전센터/구조대, ,1115000,70,203613.476,541114.3236,37.46945056,127.040848
112,1114104,역삼119안전센터,안전센터/구조대, ,1114000,71,203753.1565,544189.6677,37.49715911,127.0424427
113,1114106,개포119안전센터,안전센터/구조대, ,1114000,72,204412.6625,541694.9569,37.47467865,127.0498858
114,1114105,수서119안전센터,안전센터/구조대, ,1114000,73,208212.2316,542833.3439,37.48490967,127.0928531
115,1120104,잠실119안전센터,안전센터/구조대, ,1120000,74,208302.374,545320.129,37.50731493,127.0939004
116,1113000,마포소방서,소방서, ,1100000,75,194095.4147,549987.0805,37.54938267,126.9331812
117,1113102,신수119안전센터,안전센터/구조대, ,1113000,76,194096.0395,549994.8112,37.54945232,126.9331883
118,1123103,홍은119안전센터,안전센터/구조대, ,1123000,77,195326.174,555461.456,37.59871354,126.9470741
119,1113201,구조대,안전센터/구조대, ,1113000,78,194095.1188,549980.7524,37.54932565,126.9331779
120,1113104,서교119안전센터,안전센터/구조대, ,1113000,79,192535.0067,550091.3685,37.55031099,126.915522
121,1112106,역촌119안전센터,안전센터/구조대, ,1112000,80,192111.0689,556161.097,37.60499529,126.9106591
122,1123102,북가좌119안전센터,안전센터/구조대, ,1123000,81,192315.279,553702.7132,37.58284721,126.9129976
123,1112107,수색119안전센터,안전센터/구조대, ,1112000,82,190277.6974,553969.3082,37.58522995,126.8899256
124,1103104,신교119안전센터,안전센터/구조대, ,1103000,83,197355.3858,553858.9432,37.5842831,126.9700585
125,1120401,마천119안전센터,안전센터/구조대, ,1120000,116,212603.3721,544480.3786,37.49970007,127.1425304
126,1120402,구조대,안전센터/구조대, ,1120000,117,212614.4592,544505.4319,37.49992565,127.1426563
127,1122000,중랑소방서,소방서, ,1100000,118,208374.7103,557311.3974,37.61535507,127.0948554
128,1122101,신내119안전센터,안전센터/구조대, ,1122000,119,208386.8447,557306.9339,37.61531474,127.0949928
129,1122201,구조대,안전센터/구조대, ,1122000,120,208363.812,557316.9917,37.61540557,127.094732
130,1118105,길동119안전센터,안전센터/구조대, ,1118000,121,212759.6202,549059.3861,37.54095479,127.1443769
131,1107104,용두119안전센터,안전센터/구조대, ,1107000,122,202803.9241,553146.1224,37.57786016,127.0317425
132,1103109,숭인119안전센터,안전센터/구조대, ,1103000,123,201923.6254,553134.9128,37.57776142,127.0217768
133,1107000,동대문소방서,소방서, ,1100000,124,205889.3403,551610.2159,37.56400716,127.0666593
134,1106103,이태원119안전센터,안전센터/구조대, ,1106000,84,199630.19,548320.599,37.5343865,126.9958159
135,1103201,구조대,안전센터/구조대, ,1103000,85,198137.4893,552586.338,37.57281892,126.9789164
136,1123104,북아현119안전센터,안전센터/구조대, ,1123000,86,196090.6275,551239.351,37.56067621,126.9557532
137,1100106,회현119안전센터,안전센터/구조대, ,1100000,87,198527.9463,550963.424,37.55819723,126.9833397
138,1104103,충무로119안전센터,안전센터/구조대, ,1104000,88,199377.7957,551402.0101,37.56214984,126.9929577
139,1106104,후암119안전센터,안전센터/구조대, ,1106000,89,198043.8538,549932.8988,37.54891132,126.9778636
140,1126306,여의도수난구조대,안전센터/구조대, ,1108000,90,192982.6853,548340.9686,37.53454342,126.9206049
141,1117103,방화119안전센터,안전센터/구조대, ,1117000,91,183596.6987,553377.3735,37.57980192,126.814298
142,1117102,화곡119안전센터,안전센터/구조대, ,1117000,92,186322.6338,549360.2749,37.54365264,126.8452331
143,1121101,양천119안전센터,안전센터/구조대, ,1121000,93,188693.9872,547861.5474,37.53018125,126.8720893
144,1117000,강서소방서,소방서, ,1100000,94,187654.5746,550953.9808,37.55803065,126.8602779
145,1117401,등촌119안전센터,안전센터/구조대, ,1117000,95,187651.1331,550956.0118,37.5580489,126.8602389
146,1117402,구조대,안전센터/구조대, ,1117000,96,187658.9019,550951.7654,37.55801075,126.8603269
147,1121201,구조대,안전센터/구조대, ,1121000,97,188725.0765,547857.6209,37.53014625,126.872441
148,1126503,소방항공대,안전센터/구조대, ,1126000,98,181216.7956,550582.3334,37.55457344,126.7874268
149,1121104,신월119안전센터,안전센터/구조대, ,1121000,99,185250.4977,547617.0708,37.5279299,126.8331363
150,1102103,상도119안전센터,안전센터/구조대, ,1102000,100,193765.9297,544396.441,37.49900874,126.9295001
151,1108105,신길119안전센터,안전센터/구조대, ,1108000,101,193119.8173,545662.2892,37.5104095,126.9221815
152,1116103,신림119안전센터,안전센터/구조대, ,1116000,102,193277.7964,543359.9486,37.48966645,126.9239893
153,1102102,노량진119안전센터,안전센터/구조대, ,1102000,103,195310.039,546021.914,37.51366346,126.9469517
154,1102104,백운119안전센터,안전센터/구조대, ,1102000,104,196604.194,543927.68,37.49479997,126.9615996
155,1103105,연건119안전센터,안전센터/구조대, ,1103000,105,200165.5722,553318.2674,37.57941543,127.0018744
156,1112000,은평소방서,소방서, ,1100000,106,192919.6082,558814.9572,37.62891281,126.91979
157,1111104,월계119안전센터,안전센터/구조대, ,1111000,107,204979.6833,558801.2487,37.62880308,127.0564121
158,1111101,하계119안전센터,안전센터/구조대, ,1111000,108,206275.3702,559844.4667,37.63819439,127.0710992
159,1110102,방학119안전센터,안전센터/구조대, ,1110000,109,203796.2184,562701.1536,37.66394623,127.0430255
160,1110201,구조대,안전센터/구조대, ,1110000,110,203798.8262,562723.2143,37.66414498,127.0430552
161,1111201,구조대,안전센터/구조대, ,1111000,111,206281.6037,559826.6568,37.63803388,127.0711696
162,1126502,119특수구조대,안전센터/구조대, ,1126000,112,192449.0392,559344.8249,37.6336831,126.9144537
163,1110103,창동119안전센터,안전센터/구조대, ,1110000,113,203860.745,560793.12,37.64675492,127.0437468
164,1120000,송파소방서,소방서, ,1100000,114,212608.7975,544491.3651,37.49979899,127.142592
165,1120103,방이119안전센터,안전센터/구조대, ,1120000,115,212076.601,546709.149,37.51978838,127.1366098
166,1107101,장안119안전센터,안전센터/구조대, ,1107000,125,205894.6121,551617.0058,37.5640683,127.066719
167,1107103,전농119안전센터,안전센터/구조대, ,1107000,126,204062.5716,552975.7746,37.57632064,127.0459903
168,1109102,돈암119안전센터,안전센터/구조대, ,1109000,127,201275.5294,554600.6649,37.59096887,127.0144425
169,1107201,구조대,안전센터/구조대, ,1107000,128,205884.3096,551602.755,37.56393997,127.0666023
170,1104000,중부소방서,소방서, ,1100000,129,201360.3544,551703.8577,37.56486869,127.0153975
171,1104401,무학119안전센터,안전센터/구조대, ,1104000,130,201359.5827,551696.2246,37.56479991,127.0153888
172,1104402,구조대,안전센터/구조대, ,1104000,131,201360.6063,551712.1697,37.56494358,127.0154004
173,1104105,을지로119안전센터,안전센터/구조대, ,1104000,132,201067.7098,551909.1152,37.56671843,127.0120855
174,1104106,신당119안전센터,안전센터/구조대, ,1104000,133,200851.6159,550378.6798,37.55292948,127.0096377
175,1118102,천호119안전센터,안전센터/구조대, ,1118000,134,211611.0309,548796.7546,37.53860366,127.1313763
176,1111105,수락119안전센터,안전센터/구조대, ,1111000,135,204916.9529,564450.2125,37.67969957,127.0557395
177,1111106,공릉119안전센터,안전센터/구조대, ,1111000,136,207126.8641,557723.2716,37.61907652,127.0807258
