X좌표,Y좌표,경도,위도
202791.9644,555883.1996,127.03161749752613,37.60252104553605
202816.8937,555864.5154,127.03189973654055,37.602352626736135
202804.149,555873.76,127.0317554454072,37.602435958608794
204625.8896,554177.4189,127.05237493652336,37.58714471982797
201365.2688,557807.8002,127.0154645269971,37.619864709204364
182606.2297,552851.9483,126.80309737125886,37.575049721417926
194220.3846,552477.2647,126.93457583862936,37.57181992422435
194337.7698,552637.4366,126.93590337948422,37.57326379308742
197483.5272,548286.9058,126.97152835987661,37.53407956969167
197475.7601,548278.7732,126.97144051003572,37.534006273680895
197492.9824,548295.2931,126.97163530837928,37.53415516507418
192720.099,543910.6621,126.91767778400319,37.49462419195052
192707.3664,543910.399,126.91753380458928,37.49462172098535
192731.6198,543910.7474,126.91780806197819,37.4946250512187
206275.5993,546084.1854,127.07098396877231,37.514215108113724
205752.8401,554569.3784,127.06513749049036,37.590669892189005
186559.8846,545696.9246,126.84798469878307,37.51064938359378
189510.674,553380.006,126.88124996468267,37.57991197321592
195879.7382,547839.3531,126.9533854352137,37.530041347027186
188708.9359,547859.2886,126.87225841283338,37.53016108040302
194994.6657,560097.889,126.94328844694301,37.640485476613684
198175.2824,545201.8107,126.97936260816878,37.506284398442816
203074.0467,565427.9914,127.03485208547643,37.68851716414288
195129.5919,539763.996,126.9449520885206,37.457278185595335
205362.4681,548633.0107,127.06067404703832,37.53718582257787
207654.2181,551938.0906,127.0866386653681,37.56694832832424
203136.0569,551389.954,127.03549493404849,37.5620360925105
202151.5818,550503.6875,127.02434972028496,37.554053680552315
203498.4103,550472.8211,127.03959179702366,37.553771447881566
203478.7831,550454.8815,127.03936958940747,37.553609886769564
203491.1707,550460.9959,127.03950980964564,37.55366493054624
206799.9572,550240.6688,127.07695350068063,37.551661321699214
205355.3908,547981.1805,127.06058921893951,37.531312871095196
207312.9197,549483.1621,127.08275102470911,37.544832276949506
207318.9366,549481.4335,127.08281909303017,37.544816654559725
207305.8501,549485.4386,127.08267104975089,37.54485284421016
209487.115,541229.3777,127.10724715268401,37.470445596986295
199041.9629,551037.2876,126.98915707738314,37.55886341692948
184158.5291,550727.2856,126.82071566117796,37.55593468918134
215876.1288,550883.6942,127.17967995822657,37.55734332351467
210400.25,549496.7,127.11768655501113,37.544924603192136
202367.981,560953.287,127.02683252925125,37.64820305473068
203372.1342,559271.2537,127.03820322314456,37.63304506023049
203369.0392,559276.6756,127.03816818459305,37.63309392211474
203375.7427,559265.795,127.03824407896474,37.632995864887256
196444.7798,550061.6001,126.95976727252082,37.55006613772019
199314.856,552411.268,126.9922443579131,37.57124317091771
198136.5623,552591.178,126.9789059399219,37.572862521400076
198138.0783,552597.225,126.97892308564184,37.57291700762775
194253.5754,555729.369,126.93492604921622,37.60112134169396
192919.9907,558806.002,126.9197944466505,37.62883213228467
194824.205,542949.9,126.94147807150901,37.48598184080317
210034.2731,544119.03,127.11347186241701,37.4964757873988
195187.5805,549133.3792,126.94554623787103,37.54169717477002
191021.3169,542757.6918,126.89848178499251,37.484220908675645
191526.8421,546560.6076,126.90415375090222,37.51849012995176
191529.1611,546547.2686,126.90418013649746,37.51836996657291
191531.8481,546551.6006,126.90421048119052,37.51840902263571
205904.581,545647.847,127.06678384111106,37.510286130713084
205898.6127,545643.3529,127.06671630057745,37.51024567684141
205916.577,545650.852,127.06691954611392,37.51031312909183
185588.494,550648.753,126.83690063188507,37.55525057962739
191092.141,548448.622,126.89921364348461,37.53549705844098
202439.1368,543179.1726,127.02757971412736,37.48805888018889
194344.558,552625.207,126.93598031639715,37.573153646777115
191440.251,552344.4618,126.90310683283128,37.570601742986874
211043.4877,547760.4172,127.12493914892397,37.529273246060555
207055.481,552592.482,127.0798678173398,37.57284913812282
208881.6943,555365.9848,127.10057408124855,37.59782237179272
213423.6522,543861.4995,127.15179561045203,37.49411239538725
211038.2681,547762.8204,127.12488013384402,37.52929496133624
213433.6503,550859.468,127.15203657381122,37.557163878160836
211367.2624,550503.1585,127.12864457864934,37.553981344268806
211050.1134,547757.015,127.12501405664887,37.52924251293249
203608.2024,565323.0406,127.0409075691132,37.687569636210924
207004.399,555658.693,127.07931888038713,37.60047584384066
201690.034,555917.924,127.01913880848659,37.60283659233395
205140.2828,557337.1416,127.05822114308896,37.61561078229056
201461.9413,560141.8011,127.01656421196803,37.640893585238835
202500.7233,557825.98,127.02832598702004,37.62002612055545
206278.7101,559835.8943,127.07113692475045,37.63811712869906
203797.4045,562711.4224,127.04303903127347,37.66403874194223
206323.823,561714.8862,127.07166431112162,37.655046216832666
195785.5015,541613.1799,126.95235494891779,37.473942757901284
203265.8115,546962.3998,127.03694385023704,37.52214340061845
195784.8784,541621.2103,126.95234785881641,37.474015109751036
191196.7211,538802.5714,126.90051223797255,37.448586569739284
198957.096,541787.001,126.98820968649177,37.47551792086877
201028.564,544400.945,127.01163184701932,37.499069782795786
195787.3454,541603.89,126.95237584737444,37.473859063394926
192577.7092,541810.0213,126.91608879127033,37.475696129373794
190995.0834,540948.6862,126.8982072835473,37.46792136178781
196541.3173,556245.8593,126.9608305639902,37.605786308922035
199288.3759,544328.9515,126.99195243941429,37.49842141535963
193636.4303,546419.5518,126.92801808722174,37.51723616729289
199560.7474,546816.0732,126.99503112832697,37.52083066721149
199278.0847,544329.038,126.99183605898942,37.49842218674475
199298.7912,544328.2398,126.9920702238451,37.498415010862324
188078.719,544268.3602,126.86518667430886,37.49779883485647
184928.5011,544104.9057,126.82956550989371,37.49628008015548
188088.2403,544276.0834,126.86529422187495,37.49786854401908
