구,단속건수
강남구,63678
중구,53477
영등포구,49355
마포구,47472
서초구,28418
송파구,27731
용산구,24777
관악구,22680
구로구,22539
강서구,21713
은평구,21349
강동구,21146
양천구,20882
노원구,19479
동대문구,16976
도봉구,16849
광진구,16751
종로구,15923
동작구,15796
금천구,15778
성북구,14189
중랑구,8490
강북구,7964
성동구,5732
서대문구,4094
