구,단속건수
강남구,58888
중구,52917
마포구,47883
영등포구,41932
용산구,30509
서초구,30100
송파구,27846
구로구,24773
종로구,24596
양천구,24131
광진구,24035
관악구,23923
강동구,22405
강서구,20224
동대문구,19618
은평구,18298
노원구,18279
도봉구,17678
금천구,16214
성동구,15059
성북구,14167
동작구,12453
중랑구,11797
강북구,11782
서대문구,9473
