구,단속건수
강남구,154976
강동구,58072
강북구,29519
강서구,50900
관악구,56421
광진구,51463
구로구,59698
금천구,39905
노원구,45585
도봉구,43351
동대문구,52707
동작구,32377
마포구,117912
서대문구,19347
서초구,71225
성동구,30609
성북구,36450
송파구,73354
양천구,55885
영등포구,124197
용산구,65774
은평구,47642
종로구,61002
중구,131793
중랑구,25827
