위치명,발생건수
"37.5765851, 126.8988056",1
"37.576586, 126.8988049",1
"37.5774759, 126.8975647",1
"37.5774856, 126.8975505",1
"37.5774973, 126.8975324",1
"37.5774975, 126.8975322",1
"37.5774977, 126.8975315",1
"37.5774977, 126.8975321",1
"37.5774977, 126.8975329",1
"37.5774979, 126.8975318",1
"37.5765852, 126.898804",1
"37.5776271, 126.8973038",1
"37.5775633, 126.897397",1
"37.5775633, 126.8973998",1
"37.5775646, 126.8973978",1
"37.5775647, 126.897396",1
"37.5775647, 126.8973961",1
"37.5775647, 126.8973967",1
"37.5776027, 126.897335",1
"37.5775885, 126.8973579",1
"37.5776017, 126.8973344",1
"37.5775887, 126.8973572",1
"37.5775886, 126.8973625",1
"37.5775635, 126.8973963",1
"37.577587, 126.8973604",1
"37.5775871, 126.8973598",1
"37.5775872, 126.8973606",1
"37.5775874, 126.8973595",1
"37.5775874, 126.8973607",1
"37.5775875, 126.8973596",1
"37.5775876, 126.8973573",1
"37.5775878, 126.8973577",1
"37.5775878, 126.8973579",1
"37.5775878, 126.8973587",1
"37.5775879, 126.8973589",1
"37.577588, 126.897358",1
"37.577588, 126.8973587",1
"37.5775881, 126.8973589",1
"37.5775882, 126.8973567",1
"37.5775882, 126.897358",1
"37.5775882, 126.8973581",1
"37.5775996, 126.8973407",1
"37.5775996, 126.8973393",1
"37.5776015, 126.8973353",1
"37.5775994, 126.8973404",1
"37.5775888, 126.8973559",1
"37.5775889, 126.8973559",1
"37.5775889, 126.897356",1
"37.5775891, 126.8973539",1
"37.5775891, 126.897356",1
"37.5775891, 126.8973561",1
"37.5775891, 126.8973582",1
"37.5775893, 126.897355",1
"37.5775894, 126.897355",1
"37.5775895, 126.8973551",1
"37.5775897, 126.8973542",1
"37.5775898, 126.8973541",1
"37.5775942, 126.8973498",1
"37.5775953, 126.8973357",1
"37.5775973, 126.8973381",1
"37.5775985, 126.8973399",1
"37.5775991, 126.8973402",1
"37.5775993, 126.8973403",1
"37.5775993, 126.8973404",1
"37.5775883, 126.8973569",1
"37.5775883, 126.8973577",1
"37.5775883, 126.8973581",1
"37.5775885, 126.8973568",1
"37.577627, 126.897305",1
"37.5776271, 126.8973023",1
"37.5776271, 126.8973035",1
"37.5776255, 126.8973013",1
"37.5776254, 126.8973051",1
"37.5776251, 126.8973078",1
"37.577623, 126.8973091",1
"37.5776001, 126.8973384",1
"37.5776001, 126.8973396",1
"37.5776001, 126.8973397",1
"37.5776002, 126.8973386",1
"37.5776003, 126.8973397",1
"37.5776005, 126.8973375",1
"37.5776006, 126.8973375",1
"37.5776008, 126.8973388",1
"37.5776008, 126.8973399",1
"37.5776009, 126.8973365",1
"37.577587, 126.8973572",1
"37.5776009, 126.8973378",1
"37.577627, 126.8973043",1
"37.577627, 126.8973029",1
"37.5776269, 126.8973036",1
"37.5776261, 126.8973055",1
"37.5775886, 126.8973558",1
"37.5775997, 126.8973405",1
"37.5775998, 126.8973394",1
"37.5776001, 126.8973372",1
"37.5776256, 126.8973016",1
"37.5776256, 126.8973067",1
"37.5776257, 126.8973014",1
"37.577626, 126.8973055",1
"37.5776261, 126.8973067",1
"37.5776268, 126.8973043",1
"37.5776264, 126.8973054",1
"37.5776264, 126.8973056",1
"37.5776265, 126.8973044",1
"37.5776266, 126.8973044",1
"37.5776266, 126.8973045",1
"37.5776266, 126.8973056",1
"37.5776267, 126.8973032",1
"37.5776268, 126.8973035",1
"37.5775634, 126.8973999",1
"37.5777102, 126.8971823",1
"37.5775636, 126.8973963",1
"37.5776275, 126.897305",1
"37.5777515, 126.8971212",1
"37.5776275, 126.897306",1
"37.5776276, 126.8973008",1
"37.5776276, 126.897301",1
"37.5776276, 126.8973023",1
"37.5776282, 126.8973041",1
"37.5776276, 126.8973052",1
"37.5777568, 126.8971114",1
"37.5776274, 126.8973048",1
"37.5777571, 126.8971064",1
"37.577758, 126.8971014",1
"37.5776272, 126.8973035",1
"37.5776272, 126.8973038",1
"37.5776272, 126.8973052",1
"37.5776272, 126.8973062",1
"37.5776272, 126.8973066",1
"37.5777599, 126.8971058",1
"37.5777598, 126.8971053",1
"37.5777595, 126.8971055",1
"37.5776275, 126.8973054",1
"37.5777545, 126.8971125",1
"37.5775636, 126.8973964",1
"37.5776275, 126.8973026",1
"37.5777135, 126.8971779",1
"37.5776299, 126.897292",1
"37.5776299, 126.8972955",1
"37.5777128, 126.8971775",1
"37.5776299, 126.8972997",1
"37.5776304, 126.8972985",1
"37.5777124, 126.8971773",1
"37.5776313, 126.8972896",1
"37.5777111, 126.8971765",1
"37.5776315, 126.8972924",1
"37.5776283, 126.8973024",1
"37.5776284, 126.8973018",1
"37.5776282, 126.8973027",1
"37.5777559, 126.8971111",1
"37.5776275, 126.8973012",1
"37.5777557, 126.8971133",1
"37.5777555, 126.8971102",1
"37.5776275, 126.8973017",1
"37.5777547, 126.8971126",1
"37.5776276, 126.8973063",1
"37.5776273, 126.8973035",1
"37.5777587, 126.8971046",1
"37.5776273, 126.8973038",1
"37.5776281, 126.8973043",1
"37.5777477, 126.8971244",1
"37.5777476, 126.897127",1
"37.5776277, 126.897305",1
"37.5777484, 126.8971223",1
"37.577707, 126.8971877",1
"37.5777488, 126.8971247",1
"37.577751, 126.8971209",1
"37.5776278, 126.8973014",1
"37.5777492, 126.8971205",1
"37.5777499, 126.8971206",1
"37.5776278, 126.8973038",1
"37.577751, 126.897119",1
"37.5777499, 126.8971209",1
"37.5777509, 126.897119",1
"37.5777506, 126.8971183",1
"37.5777508, 126.8971185",1
"37.5776278, 126.897302",1
"37.5777485, 126.8971245",1
"37.5777477, 126.8971246",1
"37.5776281, 126.8973039",1
"37.5776281, 126.8973029",1
"37.5776276, 126.8973049",1
"37.5776274, 126.8973019",1
"37.5777586, 126.8971017",1
"37.5777581, 126.8971043",1
"37.5776274, 126.8973024",1
"37.5776274, 126.897303",1
"37.5776274, 126.8973032",1
"37.577759, 126.8971048",1
"37.5776277, 126.8973011",1
"37.5777512, 126.8971214",1
"37.5777478, 126.8971272",1
"37.5776279, 126.8973024",1
"37.5776279, 126.8973038",1
